ID,APN,RegisteredDate,PropertyType,PropertyAddress,PropertyCity,PropertyState,PropertyZip,CouncilDistrict,Lender,LenderContact,LenderContactPhone,PropertyManagement,PropertyManagementContact,PropertyManagementAddress,PropertyMgmtContactPhone
16,2542015005,05/05/2016,Single Family,"10133 N WHEATLAND AVE
LOS ANGELES, CA 91040
",LOS ANGELES,CA,91040,7,Nationstar Mortgage LLC,Code Compliance,888-480-2432,Assurant Field Services,Property Registration Department Property Registration Department,101  W Louis Henna Blvd 400 Austin TX 78728,800-468-1743
17,6023010025,04/01/2016,Multi-Family,"727 1/2 E 75TH ST
LOS ANGELES, CA 90001
(33.972078, -118.262019)",LOS ANGELES,CA,90001,9,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084
18,7448031001,05/04/2016,Single Family,"675 W SEPULVEDA ST
SAN PEDRO, CA 90731
(33.745123, -118.291734)",SAN PEDRO,CA,90731,15,Federal National Mortgage Association,Ronald Edison,800-499-9084,RE/MAX Estate Properties,Angelica Suarez,23740   hawthorne blvd  torrance ca 90505,310-952-1195
19,5019019006,06/20/2016,Single Family,"529 W 41ST PL
LOS ANGELES, CA 90037
(34.007828, -118.283912)",LOS ANGELES,CA,90037,9,Celink,Cory Daggett,866-654-0020,MCS,Mortgage services,6504   International Pkwy 1500 Plano TX 75093,866-563-1100
20,5223026001,01/06/2016,Single Family,"1934 N HEIDLEMAN ROAD
LOS ANGELES, CA 90032
(34.065122, -118.174834)",LOS ANGELES,CA,90032,14,SETERUS INC,Preservation Compliance,866-570-5277,"SO CAL INSPECTORS, INC",SUZANNE PHILLIPS,1902   Wright PL 200 carlsbad CA 92008,760-591-9244
21,5407019002,06/29/2016,Single Family,"704 N GRAND AVE
LOS ANGELES, CA 90012
(34.062765, -118.243361)",LOS ANGELES,CA,90012,1,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801
22,7458016027,04/04/2016,Single Family,"1150 W 13TH ST 1-18
SAN PEDRO, CA 90731
(33.732468, -118.302453)",SAN PEDRO,CA,90731,15,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084
23,5569018001,06/24/2016,Single Family,"2001 N NICHOLS CANYON ROAD
LOS ANGELES, CA 90046
(34.107424, -118.360527)",LOS ANGELES,CA,90046,4,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084
24,6073017001,01/07/2016,Single Family,"160 E 111TH ST
LOS ANGELES, CA 90061
(33.9348, -118.271676)",LOS ANGELES,CA,90061,8,Solutionstar Field Services,Paula Acosta,888-456-0714,New Beginning Properties Inc,Jose Chavez,999  W Marshall BLVD  San Bernardino CA 92405,877-339-8202
25,2637031005,06/16/2016,Single Family,"8529 N MATILIJA AVE
LOS ANGELES, CA 91402
(34.225622, -118.435226)",LOS ANGELES,CA,91402,6,CitiMortgage,Erin Theobald,877-290-3997,Safeguard Properties,Safeguard Properties,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,800-852-8306
26,2673003072,04/06/2016,Single Family,"16114 W NAPA ST
LOS ANGELES, CA 91343
(34.226558, -118.483451)",LOS ANGELES,CA,91343,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,281-404-7816
27,2568003016,06/02/2016,Single Family,"10035 N MARCUS AVE
LOS ANGELES, CA 91042
(34.250942, -118.281805)",LOS ANGELES,CA,91042,7,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480
28,2544021007,01/13/2016,Single Family,"10241 W LA TUNA CANYON ROAD
LOS ANGELES, CA 91352
(34.234091, -118.354535)",LOS ANGELES,CA,91352,7,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611
29,6075017026,04/22/2016,Single Family,"651 W 111TH ST
LOS ANGELES, CA 90044
(33.934731, -118.286584)",LOS ANGELES,CA,90044,8,PennyMac,Brittni Ferrante,800-468-1743,"US Best Repair Service, Inc","US Best Repair Service, Inc",2501   Alton PKWY  Irvine CA 92606,714-559-7835
30,2572039019,04/14/2016,Single Family,"6841 W NORTHFORD DR
LOS ANGELES, CA 91042
(34.240721, -118.281197)",LOS ANGELES,CA,91042,7,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Services,Property Registration Department Property Registration Department,101  W Louis Henna Blvd 400 Austin TX 78728,800-468-1743
31,5035030014,05/18/2016,Single Family,"1714 W 38TH ST
LOS ANGELES, CA 90062
(34.017359, -118.311483)",LOS ANGELES,CA,90062,8,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480
32,5562019009,03/16/2016,Single Family,"2161 N SUNSET PLAZA DR
HOLLYWOOD, CA 90069
(34.105876, -118.38527)",HOLLYWOOD,CA,90069,4,"Anchor Loans, LP",Maria Suarez,818-867-2005,,,,
33,2620024025,06/03/2016,Single Family,"10326 N TELFAIR AVE
LOS ANGELES, CA 91331
(34.258144, -118.419808)",LOS ANGELES,CA,91331,7,DITECH FINANCIAL LLC,Property Pres Department,855-577-1602,GALLARDO EXCAVATION/ FIVE BROTHERS,FERNANDO GALLARDO,15465   KENNEDY   FONTANA CA 92336,909-822-1706
34,2423011042,01/27/2016,Single Family,"11050 W RIVERSIDE DR
LOS ANGELES, CA 91602
",LOS ANGELES,CA,91602,4,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,281-404-7816
35,2156028147,06/13/2016,Single Family,"18550 HATTERAS
LOS ANGELES, CA 91423
",LOS ANGELES,CA,91423,3,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Law Offices of Les Zieve,Reyna Ailima,18377   BEACH BLVD 210 HUNTINGTON BEACH CA 92648,714-848-7920
36,4248001002,03/28/2016,Single Family,"12006 W NATIONAL BLVD
LOS ANGELES, CA 90064
(34.021356, -118.441332)",LOS ANGELES,CA,90064,11,Shellpoint Mortgage Services,Johan Correa,866-825-2174,New Beginning Properties Inc,Jose Chavez,999  W Marshall BLVD  San Bernardino CA 92405,877-339-8202
37,4211025104,04/28/2016,Single Family,"6400 S CRESCENT PARK EAST
LOS ANGELES, CA 90094
(33.96983, -118.42717)",LOS ANGELES,CA,90094,11,Selene Finance LP,Adan Roesner,951-428-2250,Bron Inc,Eric Moore,41951   Remington AVE 150 Temecula CA 92590,951-428-2250
38,5179015026,06/20/2016,Single Family,"3539 E 2ND ST
LOS ANGELES, CA 90063
(34.034004, -118.192846)",LOS ANGELES,CA,90063,14,CALIBER HOME LOANS,DENA GRIMES,405-945-1400,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611
39,6017025011,05/27/2016,Single Family,"1822 W 78TH ST
LOS ANGELES, CA 90047
(33.969069, -118.309861)",LOS ANGELES,CA,90047,8,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480
40,7346021017,05/19/2016,Single Family,"1445 W 223RD ST
LOS ANGELES, CA 90501
(33.824524, -118.303215)",LOS ANGELES,CA,90501,15,"Bayview Loan Servicing, LLC",Heather McNeilly,305-646-3958,SUPERIOR FIELD SERVICES,MOTI SHOHAM,5525   MORELLA AVE  NORTH HOLLYWOOD CA 91607,818-424-4732
41,2202003033,04/15/2016,Single Family,"7713 N ENCINO AVE
LOS ANGELES, CA 91325
(34.21063, -118.514228)",LOS ANGELES,CA,91325,12,"Bank of New York Mellon, C/O Select Portfolio Servicing",NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
42,6117021001,06/07/2016,Single Family,"762 W EL SEGUNDO BLVD
LOS ANGELES, CA 90247
(33.916422, -118.289231)",LOS ANGELES,CA,90247,15,Nationstar Mortgage LLC,Code Compliance,888-480-2432,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
43,2640005011,05/31/2016,Single Family,"9006 N VARNA AVE
LOS ANGELES, CA 91331
(34.233541, -118.431044)",LOS ANGELES,CA,91331,6,CitiMortgage,Erin Theobald,877-290-3997,Safeguard Properties,Safeguard Properties,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,800-852-8306
44,2761022028,06/01/2016,Single Family,"19832 W CITRONIA ST
LOS ANGELES, CA 91311
(34.245355, -118.565946)",LOS ANGELES,CA,91311,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
45,2761029004,04/07/2016,Single Family,"9526 N OAKDALE AVE
LOS ANGELES, CA 91311
(34.243545, -118.566889)",LOS ANGELES,CA,91311,12,Bayview Loan Servicing LLC,Loly Cambo,301-631-3760,Bron Inc,Eric Moore,41951   Remington AVE 150 Temecula CA 92590,951-970-3899
46,4220017022,05/25/2016,Single Family,"11926 S BEATRICE ST
LOS ANGELES, CA 90230
(33.985743, -118.405423)",LOS ANGELES,CA,90230,11,"champion Mortgage Company Nationstar Mortgage LLC, DBA",Darryl Sanders,214-687-4188,Gallardo Excav,Fernando Gallardo,15465   Kennedy ST  Fontana CA 92336,909-822-1706
47,5474001014,06/03/2016,Single Family,"4610 E WESTDALE AVE
LOS ANGELES, CA 90041
(34.129419, -118.215327)",LOS ANGELES,CA,90041,14,DITECH FINANCIAL LLC,TEMPE PROPERTIES,480-333-6059,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
48,5028007139,06/06/2016,Single Family,"4149 S DON JOSE DR
LOS ANGELES, CA 90008
(34.011111, -118.354522)",LOS ANGELES,CA,90008,8,"Danco, Inc.",Ronald Perlstein,310-842-8235,,,,
49,2409014038,04/29/2016,Single Family,"10745 W SATICOY ST
LOS ANGELES, CA 91352
(34.208453, -118.365355)",LOS ANGELES,CA,91352,2,Shellpoint Mortgage Servicing,Tracy Hall,864-312-4380,New Beginning Properties Inc,Jose Chavez,999  W Marshall BLVD  San Bernardino CA 92405,877-339-8202
50,4003019027,06/16/2016,Single Family,"4247 W 63RD ST
LOS ANGELES, CA 90043
(33.982616, -118.349453)",LOS ANGELES,CA,90043,8,Bank of America,VPR Department,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611
51,2781032002,05/10/2016,Single Family,"8849 N COMANCHE AVE
LOS ANGELES, CA 91306
(34.231431, -118.572155)",LOS ANGELES,CA,91306,3,Reverse Mortgage Solutions,Teresa Boudreaux,813-387-1100,National Field Network  DILBECK-GIBSON REAL ESTATE,ANNGEL BENOUN,14601   VENTURA BLVD  SHERMAN OAKS CA 91403,732-276-5563
52,5469009033,05/24/2016,Single Family,"5030 N MONTEZUMA ST
LOS ANGELES, CA 90042
(34.111148, -118.205544)",LOS ANGELES,CA,90042,1,ARSEN MKRTCHYAN C/O PEAK FORECLOSURE,KELLI ESPINOZA,818-591-9237,,,,
53,2410015024,01/27/2016,Single Family,"7330 N SATSUMA AVE
LOS ANGELES, CA 91352
(34.203863, -118.367063)",LOS ANGELES,CA,91352,2,Green Tree,Jeremy Iverson,480-383-0648,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
54,2202011031,04/06/2016,Single Family,"17346 W SATICOY ST
LOS ANGELES, CA 91406
(34.208424, -118.511573)",LOS ANGELES,CA,91406,6,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,281-404-7816
55,2078002020,03/21/2016,Single Family,"4401 N LEYDON AVE
LOS ANGELES, CA 91364
(34.150301, -118.627879)",LOS ANGELES,CA,91364,3,MEIR VATURY,MEIR CATURY,818-274-1330,,,,
56,2634006039,01/03/2016,Single Family,"12527 W SHELDON ST
LOS ANGELES, CA 91352
(34.230216, -118.406155)",LOS ANGELES,CA,91352,6,Solutionstar Field Services,Paula Acosta,888-456-0714,New Beginning Properties Inc,Jose Chavez,999  W Marshall BLVD  San Bernardino CA 92405,877-339-8202
57,5432030008,05/04/2016,Single Family,"2360 N PANORAMA TER
LOS ANGELES, CA 90039
(34.102367, -118.269922)",LOS ANGELES,CA,90039,4,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480
58,2552016004,06/29/2016,Single Family,"11018 N LEOLANG AVE
LOS ANGELES, CA 91040
(34.269265, -118.306182)",LOS ANGELES,CA,91040,7,Shellpoint Mortgage Services,Tracy Hall,866-825-2174,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801
59,7411017027,02/26/2016,Single Family,"1678 W 262ND ST
LOS ANGELES, CA 90710
(33.785189, -118.306969)",LOS ANGELES,CA,90710,15,"Val-Chris Investments, Inc.",Chris Boulter,949-252-8020,,,,
60,5001035047,01/12/2016,Multi-Family,"5400 S FIGUEROA ST
LOS ANGELES, CA 90037
(33.993105, -118.282686)",LOS ANGELES,CA,90037,9,"US Bank, N.A., as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,Rockbridge Group,Juan Avila,2625   Townsgate RD  Westlake Village CA 91361,877-224-9838
61,2214005019,04/07/2016,Single Family,"7967 N CLEARFIELD AVE
LOS ANGELES, CA 91402
(34.216014, -118.436335)",LOS ANGELES,CA,91402,6,NSP LA Trust,Jessie Colmenero,310-535-9293,"Miles Preservation, LLC",Adam Miles,27226   Via Industria  A Temecula CA 92590,951-928-4848
62,4109010013,05/13/2016,Single Family,"6381 W 80TH PL
LOS ANGELES, CA 90045
(33.966212, -118.399136)",LOS ANGELES,CA,90045,11,Selene Finance LP,Adan Roesner,951-428-2250,Bron Inc,Eric Moore,41951   Remington AVE 150 Temecula CA 92590,951-970-3899
63,2582031023,05/25/2016,Single Family,"14124 N BERMAX AVE
LOS ANGELES, CA 91342
(34.329567, -118.431271)",LOS ANGELES,CA,91342,7,Franklin Credit Management Corp,DK Knight,201-604-1800,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778
64,5542022012,05/11/2016,Multi-Family,"1258 N VIRGIL AVE 1-4
LOS ANGELES, CA 90029
(34.095144, -118.286584)",LOS ANGELES,CA,90029,13,"SETERUS, INC",KEVIN QUILLAN,877-272-2149,"SO CAL INSPECTORS, INC",SUZANNE PHILLIPS,1902   Wright PL 200 carlsbad CA 92008,760-591-9244
65,6041006020,05/04/2016,Single Family,"158 E 89TH ST
LOS ANGELES, CA 90003
(33.955573, -118.27184)",LOS ANGELES,CA,90003,8,Ditech,Property Preservation Department,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,999  W Marshall BCH  San Bernardino CA 92405,909-289-1453
66,5415024030,04/27/2016,Single Family,"716 W ACADEMY ROAD
LOS ANGELES, CA 90012
(34.077669, -118.23324)",LOS ANGELES,CA,90012,1,"SETERUS, INC",KEVIN QUILLAN,877-272-2149,"SO CAL INSPECTORS, INC",SUZANNE PHILLIPS,1902   Wright PL 200 carlsbad CA 92008,760-591-9244
67,2146037170,05/10/2016,Single Family,"5500 N OWENSMOUTH AVE
WOODLAND HILLS, CA 91367
(34.171021, -118.601825)",WOODLAND HILLS,CA,91367,3,Nationstar Mortgage LLC,NSTAR CLIENT,469-549-2178,Safeguard Properties,Safeguard Properties,7887   Safeguard Cir  Valley View OH 44125,800-852-8306
68,2276029019,05/12/2016,Single Family,"14610 W SUTTON ST
LOS ANGELES, CA 91403
(34.148124, -118.455907)",LOS ANGELES,CA,91403,4,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,281-404-7816
69,2601051009,06/15/2016,Single Family,"11920 N SHOSHONE AVE
LOS ANGELES, CA 91344
(34.287389, -118.516883)",LOS ANGELES,CA,91344,12,CitiMortgage,Erin Theobald,877-290-3997,Safeguard Properties,Safeguard Properties,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,800-852-8306
70,5678022014,05/09/2016,Single Family,"4205 N VERDUGO ROAD
LOS ANGELES, CA 90065
(34.127224, -118.232157)",LOS ANGELES,CA,90065,14,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480
71,6066006052,06/28/2016,Single Family,"10321 S HICKORY ST
LOS ANGELES, CA 90002
(33.942436, -118.235871)",LOS ANGELES,CA,90002,15,"SETERUS, INC",KEVIN QUILLAN,877-272-2149,"SO CAL INSPECTORS, INC",SUZANNE PHILLIPS,1902   Wright PL 200 carlsbad CA 92008,760-591-9244
72,2741027035,04/06/2016,Single Family,"20614 W TUBA ST
LOS ANGELES, CA 91311
(34.256313, -118.582406)",LOS ANGELES,CA,91311,12,Reverse Mortgage Solutions,Teresa Boudreaux,813-387-1100,National Field Network  DILBECK-GIBSON REAL ESTATE,ANNGEL BENOUN,14601   VENTURA BLVD  SHERMAN OAKS CA 91403,732-276-5563
73,2505007019,04/28/2016,Single Family,"14723 W LAKESIDE ST
LOS ANGELES, CA 91342
(34.307055, -118.453568)",LOS ANGELES,CA,91342,7,Selene Finance LP,Adan Roesner,951-428-2250,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,877-617-8274
74,5115003018,05/06/2016,Single Family,"663 E 42ND ST
LOS ANGELES, CA 90011
(34.007522, -118.263991)",LOS ANGELES,CA,90011,9,Federal National Mortgage Association,Michelle Todd,972-656-8507,L.A. REAL ESTATE NETWORK INC,Ray Duran,1200  W Beverly Boulevard  A Montebello CA 90640,323-724-2420
75,7562012007,06/13/2016,Single Family,"1666 S MORSE DR
SAN PEDRO, CA 90732
(33.728446, -118.313164)",SAN PEDRO,CA,90732,15,Selene Finance LP,Adan Roesner,951-428-2250,M&M Mortgage co,Frances Guerra,13380  SW 131st ST  miami FL 33186,303-232-4300
76,7559035014,05/12/2016,Single Family,"409 S WEYMOUTH AVE
SAN PEDRO, CA 90732
(33.740535, -118.30966)",SAN PEDRO,CA,90732,15,Flagstar,Allie Bullard,800-393-4887,Law Offices of Les Zieve,Dawn Talavera,30   Corporate PARK 450 IRVINE CA 92606,714-848-7920
77,2360010034,04/28/2016,Single Family,"4306 N GREENBUSH AVE
LOS ANGELES, CA 91423
(34.149099, -118.425929)",LOS ANGELES,CA,91423,4,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801
78,5018009021,03/02/2016,Multi-Family,"965 W 47TH ST
LOS ANGELES, CA 90037
(34.00055, -118.290627)",LOS ANGELES,CA,90037,9,JP Morgan Chase NA,Amy Lott,888-310-1506,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611
79,5019022007,01/28/2016,Multi-Family,"548 W 41ST ST
LOS ANGELES, CA 90037
(34.00964, -118.284013)",LOS ANGELES,CA,90037,9,"Danco, Inc.",Ronald Perlstein,310-842-8235,,,,
80,5021008023,01/11/2016,Single Family,"4111 S HOBART BLVD
LOS ANGELES, CA 90062
(34.009095, -118.307801)",LOS ANGELES,CA,90062,8,Shellpoint Mortgage Services,Johan Correa,866-825-2174,New Beginning Properties Inc,Jose Chavez,999  W Marshall BLVD  San Bernardino CA 92405,877-339-8202
81,2255011014,06/03/2016,Single Family,"5629 N BABBITT AVE
LOS ANGELES, CA 91316
(34.1733, -118.509237)",LOS ANGELES,CA,91316,5,PennyMac Loan Services,Property Preserevation,866-695-4122,Assurant Field Services,Property Registration,101  W Louis Henna Blvd 400 Austin TX 78728,512-467-1537
82,2324010010,04/27/2016,Single Family,"6942 N ALCOVE AVE
LOS ANGELES, CA 91605
(34.197051, -118.412616)",LOS ANGELES,CA,91605,2,"Dovenmuehle Mortgage, Inc.",Eric Barber,847-550-7300,"Sables Servco, LLC",Jesse Talavera,30   Corporate Park  450 Irvine CA 92606,714-580-8567
83,5312010009,04/01/2016,Multi-Family,"614 1/2 S AVENUE 60
LOS ANGELES, CA 90042
(34.105043, -118.182266)",LOS ANGELES,CA,90042,14,Deutsche Bank C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
84,6084020018,04/13/2016,Single Family,"944 E 119TH ST
LOS ANGELES, CA 90059
(33.924573, -118.257002)",LOS ANGELES,CA,90059,15,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084
85,5524038021,06/08/2016,Single Family,"345 N HIGHLAND AVE
LOS ANGELES, CA 90036
(34.077597, -118.338632)",LOS ANGELES,CA,90036,5,EverBank,Property Preservation,800-669-9721,Service Link,Gabriele Rangel,1613  E Eckerman   West Covina CA 91791,800-767-8674
86,5576016024,05/26/2016,Single Family,"6327 W PRIMROSE AVE
LOS ANGELES, CA 90068
(34.109797, -118.327682)",LOS ANGELES,CA,90068,4,"HANKEY CAPITAL, LLC",Eugene Leydiker,323-692-4026,Bank of America,Marilee Linker,400   National WAY  Simil Valley CA 93065,214-209-7290
87,2216007013,06/17/2016,Single Family,"7014 N COLBATH AVE
LOS ANGELES, CA 91405
(34.198094, -118.436712)",LOS ANGELES,CA,91405,2,Nationstar Mortgage LLC,Code Compliance,888-480-2432,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
